"No.","Pos. [°2θ]","Iobs [cps]"
"745","34.0357","90.0787"
"746","34.0747","89.8028"
"747","34.1137","90.6485"
"748","34.1527","90.9735"
"749","34.1917","89.4854"
"750","34.2307","88.2249"
"751","34.2697","87.1823"
"752","34.3087","87.6774"
"753","34.3477","88.0605"
"754","34.3867","87.9946"
"755","34.4257","88.2372"
"756","34.4647","88.8407"
"757","34.5037","89.7911"
"758","34.5427","90.6470"
"759","34.5817","90.3553"
"760","34.6207","92.3070"
"761","34.6597","95.5299"
"762","34.6987","95.8811"
"763","34.7377","99.5223"
"764","34.7767","109.4085"
"765","34.8157","120.3721"
"766","34.8547","124.7552"
"767","34.8937","121.9299"
"768","34.9327","114.3307"
"769","34.9717","108.6936"
"770","35.0107","102.5905"
"771","35.0497","97.7985"
"772","35.0887","93.2298"
"773","35.1277","92.1100"
"774","35.1667","91.9864"
"775","35.2057","89.6310"
"776","35.2447","90.0831"
"777","35.2837","89.6524"
"778","35.3227","90.8169"
"779","35.3617","93.2164"
"780","35.4007","90.8876"
"781","35.4397","91.5029"
"782","35.4787","92.9932"
"783","35.5177","94.8182"
"784","35.5567","95.3973"
"785","35.5957","92.1967"
"786","35.6347","94.7639"
"787","35.6737","97.4972"
"788","35.7127","94.9360"
"789","35.7517","91.9913"
"790","35.7907","93.3869"
"791","35.8297","96.5334"
"792","35.8687","98.6433"
"793","35.9077","103.1947"
"794","35.9467","105.0526"
"795","35.9857","107.5513"
"796","36.0247","105.2773"
"797","36.0637","100.4575"
"798","36.1027","95.6149"
"799","36.1417","91.6772"
"800","36.1807","88.6381"
"801","36.2197","90.0039"
"802","36.2587","86.7379"
"803","36.2977","85.9318"
"804","36.3367","90.2517"
"805","36.3757","86.3858"
"806","36.4147","88.5371"
"807","36.4537","90.2354"
"808","36.4927","89.4342"
"809","36.5317","86.4919"
"810","36.5707","85.4312"
"811","36.6097","86.5220"
"812","36.6487","86.9803"
"813","36.6877","85.9440"
"814","36.7267","84.3506"
"815","36.7657","85.5246"
"816","36.8047","88.0760"
"817","36.8437","87.4269"
"818","36.8827","86.0720"
"819","36.9217","88.7451"
"820","36.9607","87.7394"
"821","36.9997","85.3717"
"822","37.0387","84.1438"
"823","37.0777","84.6225"
"824","37.1167","85.5524"
"825","37.1557","83.7309"
"826","37.1947","85.6723"
"827","37.2337","85.2778"
"828","37.2727","83.5506"
"829","37.3117","84.0573"
"830","37.3507","86.8101"
"831","37.3897","87.4133"
"832","37.4287","85.2762"
"833","37.4677","83.8213"
"834","37.5067","85.7517"
"835","37.5457","86.2134"
"836","37.5847","85.7911"
"837","37.6237","86.9747"
"838","37.6627","88.0963"
"839","37.7017","89.9700"
"840","37.7407","88.2911"
"841","37.7797","87.1528"
"842","37.8187","85.9429"
"843","37.8577","86.8394"
"844","37.8967","89.2546"
"845","37.9357","87.6623"
"846","37.9747","84.1268"
"847","38.0137","86.3576"
"848","38.0527","87.8363"
"849","38.0917","87.8748"
"850","38.1307","86.4706"
"851","38.1697","86.7542"
"852","38.2087","86.3234"
"853","38.2477","84.7274"
"854","38.2867","85.6236"
"855","38.3257","88.1585"
"856","38.3647","87.2161"
"857","38.4037","83.8842"
"858","38.4427","84.4477"
"859","38.4817","86.5635"
"860","38.5207","88.8516"
"861","38.5597","89.7364"
"862","38.5987","90.1881"
"863","38.6377","93.1499"
"864","38.6767","98.1444"
"865","38.7157","106.2278"
"866","38.7547","113.7232"
"867","38.7937","117.5527"
"868","38.8327","114.2205"
"869","38.8717","108.3924"
"870","38.9107","102.4289"
"871","38.9497","97.5609"
"872","38.9887","93.3992"
"873","39.0277","92.0094"
"874","39.0667","90.2591"
"875","39.1057","87.1898"
"876","39.1447","86.2239"
"877","39.1837","85.9632"
"878","39.2227","88.3036"
"879","39.2617","87.6626"
"880","39.3007","87.6827"
"881","39.3397","87.3733"
"882","39.3787","88.2753"
"883","39.4177","88.2271"
"884","39.4567","87.5848"
"885","39.4957","88.6900"
"886","39.5347","87.6855"
"887","39.5737","89.0119"
"888","39.6127","87.2627"
"889","39.6517","83.8165"
"890","39.6907","84.6477"
"891","39.7297","86.4520"
"892","39.7687","85.6076"
"893","39.8077","85.5724"
"894","39.8467","87.7758"
"895","39.8857","87.0530"
"896","39.9247","89.1918"
"897","39.9637","85.9923"
"898","40.0027","86.4139"
"899","40.0417","84.8994"
"900","40.0807","83.6299"
"901","40.1197","86.6287"
"902","40.1587","86.5845"
"903","40.1977","85.5274"
"904","40.2367","84.4291"
"905","40.2757","86.4060"
"906","40.3147","85.3251"
"907","40.3537","86.6054"
"908","40.3927","90.4464"
"909","40.4317","93.0965"
"910","40.4707","93.3048"
"911","40.5097","93.8724"
"912","40.5487","90.4604"
"913","40.5877","90.1233"
"914","40.6267","90.9526"
"915","40.6657","87.0450"
"916","40.7047","91.2049"
"917","40.7437","90.6598"
"918","40.7827","88.6621"
"919","40.8217","88.7861"
"920","40.8607","89.2839"
"921","40.8997","89.3996"
"922","40.9387","88.5316"
"923","40.9777","86.6768"
"924","41.0167","88.2471"
"925","41.0557","84.9912"
"926","41.0947","87.3656"
"927","41.1337","85.9322"
"928","41.1727","86.4930"
"929","41.2117","85.8149"
"930","41.2507","87.4680"
"931","41.2897","86.0577"
"932","41.3287","83.5562"
"933","41.3677","83.9695"
"934","41.4067","85.9519"
"935","41.4457","88.8796"
"936","41.4847","88.5400"
"937","41.5237","87.2515"
"938","41.5627","88.3906"
"939","41.6017","90.8824"
"940","41.6407","92.6319"
"941","41.6797","100.7404"
"942","41.7187","108.5167"
"943","41.7577","111.7237"
"944","41.7967","111.9482"
"945","41.8357","108.6189"
"946","41.8747","105.2896"
"947","41.9137","100.2304"
"948","41.9527","94.9816"
"949","41.9917","92.1498"
"950","42.0307","90.6607"
"951","42.0697","89.0979"
"952","42.1087","87.5915"
"953","42.1477","89.4239"
"954","42.1867","87.8923"
"955","42.2257","85.9191"
"956","42.2647","86.4264"
"957","42.3037","85.4244"
"958","42.3427","86.6752"
"959","42.3817","86.9669"
"960","42.4207","85.8127"
"961","42.4597","86.7307"
"962","42.4987","86.4339"
"963","42.5377","85.8351"
"964","42.5767","86.6923"
"965","42.6157","86.4564"
"966","42.6547","85.5281"
"967","42.6937","85.2069"
"968","42.7327","84.7881"
"969","42.7717","86.1523"
"970","42.8107","87.6453"
"971","42.8497","87.6375"
"972","42.8887","87.5818"
"973","42.9277","92.4241"
"974","42.9667","96.8724"
"975","43.0057","101.3414"
"976","43.0447","103.4973"
"977","43.0837","102.1486"
"978","43.1227","101.1665"
"979","43.1617","96.9776"
"980","43.2007","90.7842"
